"","year","id","race","sex","age","region","childhoodFamIncome","highestDegree","spouseHighestDegree","householdSize","currentFamIncome","hrsUsuallyWork","hrsSpouseUsuallyWork","maritalStatus","numChildren","afraidWalkNightNeighborhood","troubleSleeping","jobSatisfaction","jobStressful","happiness","health","hrsEmailPerWeek","hrsWWWperWeek"
"11",2018,11,"White","Male",59,"New england","Above average","Graduate","",2,"$25000 or more",NA,NA,"Divorced",2,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Excellent",20,10
"12",2018,12,"Other","Female",34,"New england","Average","High school","",4,"$20000 - 24999",NA,NA,"Separated",3,"","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","",1,3
"13",2018,13,"White","Female",61,"New england","Above average","High school","",1,"$20000 - 24999",NA,NA,"Divorced",2,"Yes","","","No issp","Not too happy","Poor",1,2
"14",2018,14,"Black","Male",44,"Middle atlantic","Far below average","Bachelor","Junior college",3,"$25000 or more",NA,NA,"Married",2,"Yes","Rarely","Somewhat satisfied","Sometimes","Very happy","Excellent",NA,NA
"15",2018,15,"Black","Female",41,"Middle atlantic","Below average","High school","",3,"$1000 to 2999",NA,NA,"Never married",2,"","","","No issp","Pretty happy","",0,5
"16",2018,16,"White","Female",75,"Middle atlantic","Average","High school","",2,"$25000 or more",NA,NA,"Widowed",4,"Yes","Often","Very satisfied","Hardly ever","Pretty happy","Good",1,14
"17",2018,17,"White","Female",55,"Middle atlantic","Below average","Bachelor","High school",2,"$25000 or more",NA,NA,"Married",0,"","","","No issp","Not too happy","",14,21
"18",2018,18,"White","Female",30,"Middle atlantic","Below average","Bachelor","Bachelor",4,"Don't know",NA,NA,"Married",2,"No","","","No issp","Very happy","Excellent",0,1
"19",2018,19,"White","Female",40,"Middle atlantic","Above average","Graduate","",3,"$25000 or more",NA,NA,"Divorced",2,"No","Never","Very satisfied","Sometimes","Pretty happy","Excellent",NA,NA
"20",2018,20,"White","Male",30,"Middle atlantic","Below average","Graduate","",4,"Don't know",NA,NA,"Never married",0,"","Sometimes","Not too satisfied","Always","Not too happy","",15,10
"21",2018,21,"White","Female",34,"Middle atlantic","Below average","High school","High school",3,"$25000 or more",NA,NA,"Married",1,"Yes","Rarely","Somewhat satisfied","Often","Very happy","Excellent",4,4
"22",2018,22,"Other","Female",29,"Middle atlantic","Average","Junior college","",3,"Don't know",NA,NA,"Never married",0,"No","","","No issp","Pretty happy","Good",NA,NA
"23",2018,23,"White","Female",40,"Middle atlantic","Above average","Junior college","High school",3,"$25000 or more",NA,NA,"Married",1,"","Sometimes","Very satisfied","Hardly ever","Pretty happy","",1,4
"24",2018,24,"White","Male",37,"Middle atlantic","Average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Very satisfied","Often","Very happy","Excellent",2,10
"25",2018,25,"White","Female",56,"Middle atlantic","Average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",3,"Yes","Sometimes","Somewhat satisfied","Sometimes","Very happy","Good",1,21
"26",2018,26,"White","Male",82,"Middle atlantic","Average","Lt high school","",1,"$25000 or more",NA,NA,"Widowed",2,"No","","","No issp","Very happy","Excellent",NA,NA
"27",2018,27,"White","Female",68,"Middle atlantic","Average","High school","",1,"$25000 or more",NA,NA,"Divorced",3,"Yes","Often","Very satisfied","Hardly ever","Pretty happy","Good",1,2
"28",2018,28,"Black","Female",42,"Middle atlantic","Average","Lt high school","",2,"$10000 - 14999",NA,NA,"Never married",5,"No","","","No issp","Not too happy","Excellent",NA,NA
"29",2018,29,"White","Female",40,"Middle atlantic","Far below average","High school","",4,"$25000 or more",NA,NA,"Divorced",3,"","","","No issp","Not too happy","",1,2
"30",2018,30,"White","Male",20,"Middle atlantic","Above average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Often","Pretty happy","Excellent",NA,NA
"31",2018,31,"White","Female",74,"Middle atlantic","Below average","High school","High school",2,"Refused",NA,NA,"Married",2,"","","","No issp","Pretty happy","",3,15
"32",2018,32,"White","Male",NA,"Middle atlantic","Above average","Lt high school","High school",2,"$25000 or more",NA,NA,"Married",7,"No","","","No issp","Not too happy","Fair",NA,NA
"33",2018,33,"White","Female",60,"Middle atlantic","Average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",2,"","","","No issp","Pretty happy","",3,10
"34",2018,34,"White","Female",56,"Middle atlantic","Below average","Bachelor","",1,"$25000 or more",NA,NA,"Divorced",0,"Yes","Rarely","Not too satisfied","Often","Pretty happy","Fair",10,25
"35",2018,35,"White","Female",55,"Middle atlantic","Average","Lt high school","",1,"Refused",NA,NA,"Divorced",3,"","Rarely","Very satisfied","Hardly ever","Very happy","",0,2
"36",2018,36,"White","Male",65,"Middle atlantic","Average","Graduate","Graduate",2,"$25000 or more",NA,NA,"Married",5,"No","Sometimes","Very satisfied","Sometimes","Very happy","Excellent",NA,NA
"37",2018,37,"White","Female",71,"Middle atlantic","Below average","Graduate","",1,"$25000 or more",NA,NA,"Widowed",1,"No","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Fair",10,10
"38",2018,38,"White","Male",34,"Middle atlantic","Below average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"No","Never","Somewhat satisfied","Always","Not too happy","Good",NA,NA
"39",2018,39,"White","Male",45,"Middle atlantic","Far below average","Graduate","Junior college",1,"$25000 or more",NA,NA,"Married",1,"","Rarely","Somewhat satisfied","Sometimes","Pretty happy","",7,25
"40",2018,40,"Black","Female",50,"Middle atlantic","Average","High school","No answer",1,"Refused",NA,NA,"No answer",NA,"No","No answer","No answer","No answer","Pretty happy","Good",NA,NA
"41",2018,41,"White","Female",65,"Middle atlantic","Average","High school","",1,"$10000 - 14999",NA,NA,"Divorced",2,"","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","",0,6
"42",2018,42,"White","Male",52,"Middle atlantic","Far above average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Good",0,10
"43",2018,43,"White","Female",62,"Middle atlantic","Average","High school","",1,"$25000 or more",NA,NA,"Widowed",1,"","","","No issp","Very happy","",3,30
"44",2018,44,"Other","Male",60,"Middle atlantic","Above average","Graduate","Bachelor",2,"Refused",NA,NA,"Married",0,"No","No answer","No answer","No answer","Pretty happy","Excellent",NA,NA
"45",2018,45,"White","Female",62,"Middle atlantic","Average","Bachelor","",2,"$25000 or more",NA,NA,"Divorced",2,"Yes","","","No issp","Pretty happy","Excellent",NA,NA
"46",2018,46,"White","Female",46,"Middle atlantic","Average","High school","",1,"$25000 or more",NA,NA,"Widowed",3,"","Sometimes","Somewhat satisfied","Hardly ever","Not too happy","",5,3
"47",2018,47,"White","Male",40,"Middle atlantic","Above average","Graduate","Graduate",4,"$25000 or more",NA,NA,"Married",2,"","Rarely","Somewhat satisfied","Sometimes","Pretty happy","",10,10
"48",2018,48,"White","Female",53,"Middle atlantic","Below average","Graduate","Bachelor",5,"Refused",NA,NA,"Married",3,"","","","No issp","Pretty happy","",21,20
"49",2018,49,"White","Male",75,"Middle atlantic","Above average","Bachelor","",1,"$25000 or more",NA,NA,"Divorced",1,"","","","No issp","Pretty happy","",3,1
"50",2018,50,"White","Female",67,"Middle atlantic","Above average","Bachelor","",2,"$25000 or more",NA,NA,"Divorced",2,"No","","","No issp","Pretty happy","Good",7,10
"51",2018,51,"White","Male",22,"Middle atlantic","Average","High school","",4,"Don't know",NA,NA,"Never married",0,"No","Never","Somewhat satisfied","Sometimes","Pretty happy","Excellent",NA,NA
"52",2018,52,"White","Female",42,"Middle atlantic","Average","High school","",4,"$25000 or more",NA,NA,"Separated",3,"No","Rarely","Somewhat satisfied","Sometimes","Not too happy","Good",25,3
"53",2018,53,"White","Female",59,"Middle atlantic","Far below average","Graduate","",2,"$25000 or more",NA,NA,"Divorced",2,"","Often","Somewhat satisfied","Always","Pretty happy","",1,30
"54",2018,54,"Other","Female",33,"Middle atlantic","Average","Graduate","Graduate",3,"$25000 or more",NA,NA,"Married",1,"Don't know","","","No issp","Very happy","Good",NA,NA
"55",2018,55,"White","Male",46,"Middle atlantic","Average","Bachelor","Bachelor",2,"Refused",NA,NA,"Married",2,"","Sometimes","Very satisfied","Never","Pretty happy","",3,2
"56",2018,56,"White","Male",55,"Middle atlantic","Below average","Bachelor","",2,"$25000 or more",NA,NA,"Divorced",1,"Yes","Never","Somewhat satisfied","Hardly ever","Pretty happy","Fair",NA,NA
"57",2018,57,"White","Female",43,"Middle atlantic","Above average","Bachelor","Bachelor",4,"$25000 or more",NA,NA,"Married",2,"","","","No issp","Pretty happy","",0,9
"58",2018,58,"Black","Female",45,"Middle atlantic","Don't know","High school","",2,"$8000 to 9999",NA,NA,"Never married",2,"No","","","No issp","Not too happy","Good",0,4
"59",2018,59,"White","Male",23,"Middle atlantic","Average","Lt high school","",4,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Often","Pretty happy","Fair",NA,NA
"60",2018,60,"Black","Female",28,"Middle atlantic","Below average","High school","",3,"$7000 to 7999",NA,NA,"Separated",2,"","Sometimes","Somewhat satisfied","Never","Not too happy","",5,12
"61",2018,61,"Black","Female",27,"Middle atlantic","Below average","High school","High school",3,"$5000 to 5999",NA,NA,"Married",1,"Yes","","","No issp","Pretty happy","Fair",3,36
"62",2018,62,"Black","Female",42,"Middle atlantic","Average","Lt high school","High school",3,"$25000 or more",NA,NA,"Married",3,"","Rarely","Not too satisfied","Sometimes","Not too happy","",20,30
"63",2018,63,"Black","Female",41,"Middle atlantic","Average","Bachelor","",1,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Good",1,10
"64",2018,64,"Black","Female",64,"Middle atlantic","Below average","High school","",1,"$25000 or more",NA,NA,"Widowed",1,"Yes","","","No issp","Pretty happy","Excellent",1,1
"65",2018,65,"Black","Male",53,"Middle atlantic","Average","Lt high school","",1,"Don't know",NA,NA,"Never married",4,"","","","No issp","Pretty happy","",0,35
"66",2018,66,"Black","Male",79,"Middle atlantic","Below average","Graduate","",1,"$20000 - 24999",NA,NA,"Divorced",4,"No","","","No issp","Not too happy","Excellent",2,7
"67",2018,67,"White","Male",34,"Middle atlantic","Below average","High school","Bachelor",1,"$25000 or more",NA,NA,"Married",3,"No","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Fair",2,10
"68",2018,68,"Black","Female",59,"Middle atlantic","Average","High school","",2,"$25000 or more",NA,NA,"Separated",3,"Yes","","","No issp","Very happy","Good",NA,NA
"69",2018,69,"Black","Female",32,"Middle atlantic","Above average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Often","Pretty happy","Excellent",25,80
"70",2018,70,"Black","Female",33,"Middle atlantic","Below average","Bachelor","High school",5,"$15000 - 19999",NA,NA,"Married",3,"","","","No issp","Very happy","",0,2
"71",2018,71,"White","Male",35,"Middle atlantic","Far above average","High school","",1,"$8000 to 9999",NA,NA,"Never married",0,"","","","No issp","Pretty happy","",5,5
"72",2018,72,"Black","Male",37,"Middle atlantic","Average","Junior college","Graduate",2,"$25000 or more",NA,NA,"Married",0,"","Sometimes","Somewhat satisfied","Often","Pretty happy","",4,1
"73",2018,73,"Other","Female",28,"Middle atlantic","Average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"No","","","No issp","Very happy","Good",3,5
"74",2018,74,"White","Female",42,"Middle atlantic","Below average","Graduate","Bachelor",1,"Refused",NA,NA,"Married",2,"No","Sometimes","Somewhat satisfied","Often","Pretty happy","Good",NA,NA
"75",2018,75,"White","Male",21,"Middle atlantic","Average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Sometimes","Pretty happy","Fair",NA,NA
"76",2018,76,"Black","Female",33,"Middle atlantic","Far below average","Junior college","",11,"Refused",NA,NA,"Never married",2,"No","Never","Somewhat satisfied","Sometimes","Very happy","Excellent",40,40
"77",2018,77,"White","Female",37,"Middle atlantic","Average","Bachelor","Bachelor",4,"Refused",NA,NA,"Married",2,"Yes","Often","Very satisfied","Often","Very happy","Excellent",NA,NA
"78",2018,78,"White","Female",NA,"Middle atlantic","Far below average","Lt high school","",3,"$25000 or more",NA,NA,"Widowed",3,"","","","No issp","Pretty happy","",0,0
"79",2018,79,"Other","Female",47,"Middle atlantic","Average","Junior college","Graduate",2,"Refused",NA,NA,"Married",1,"No","","","No issp","Pretty happy","Good",NA,NA
"80",2018,80,"Other","Female",63,"Middle atlantic","No answer","Lt high school","Lt high school",2,"Refused",NA,NA,"Married",NA,"","No answer","No answer","No answer","Very happy","",3,3
"81",2018,81,"Black","Female",71,"Middle atlantic","Below average","Bachelor","High school",2,"$25000 or more",NA,NA,"Married",0,"Yes","","","No issp","Pretty happy","Good",2,4
"82",2018,82,"Black","Female",42,"Middle atlantic","Average","High school","High school",2,"$25000 or more",NA,NA,"Married",1,"No","Sometimes","Very satisfied","Often","Pretty happy","Good",10,10
"83",2018,83,"Other","Female",37,"Middle atlantic","Far below average","High school","",2,"$25000 or more",NA,NA,"Divorced",1,"","Sometimes","Very satisfied","Hardly ever","Very happy","",2,4
"84",2018,84,"White","Female",40,"Middle atlantic","Average","High school","Lt high school",3,"$25000 or more",NA,NA,"Married",4,"No","Sometimes","Very satisfied","Sometimes","Very happy","Excellent",3,4
"85",2018,85,"White","Male",70,"Middle atlantic","Below average","High school","",2,"$25000 or more",NA,NA,"Separated",4,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Good",NA,NA
"86",2018,86,"Black","Male",28,"Middle atlantic","Below average","Bachelor","",2,"$25000 or more",NA,NA,"Never married",0,"","Never","Somewhat satisfied","Hardly ever","Pretty happy","",2,10
"87",2018,87,"Other","Female",53,"Middle atlantic","Far below average","High school","",2,"$25000 or more",NA,NA,"Never married",2,"","Rarely","Not too satisfied","Sometimes","Pretty happy","",0,NA
"88",2018,88,"White","Male",46,"Middle atlantic","Above average","High school","High school",4,"Refused",40,NA,"Married",2,"No","Often","Very satisfied","Hardly ever","Pretty happy","Good",NA,NA
"89",2018,89,"White","Male",55,"Middle atlantic","Above average","Graduate","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"","Sometimes","Very satisfied","Hardly ever","Pretty happy","",6,30
"90",2018,90,"Other","Male",28,"Middle atlantic","Average","Graduate","",1,"$8000 to 9999",NA,NA,"Never married",0,"","Rarely","Not too satisfied","Sometimes","Pretty happy","",10,40
"91",2018,91,"White","Male",42,"Middle atlantic","Above average","Graduate","",1,"$25000 or more",45,NA,"Never married",0,"","Often","Not at all satisfied","Often","Pretty happy","",40,20
"92",2018,92,"White","Female",77,"Middle atlantic","Above average","Graduate","Graduate",1,"$25000 or more",NA,NA,"Married",0,"No","Sometimes","Somewhat satisfied","Often","Not too happy","Excellent",10,25
"93",2018,93,"Other","Male",29,"Middle atlantic","Above average","Graduate","",2,"Refused",NA,NA,"Never married",0,"","Rarely","Somewhat satisfied","Always","Very happy","",3,20
"94",2018,94,"Black","Female",62,"Middle atlantic","No answer","Lt high school","",3,"Refused",NA,NA,"Widowed",1,"","","","No issp","Not too happy","",NA,NA
"95",2018,95,"Black","Female",30,"Middle atlantic","Average","Bachelor","",1,"$25000 or more",NA,NA,"Never married",2,"No","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Fair",1,7
"96",2018,96,"Black","Male",22,"Middle atlantic","Above average","High school","",3,"Refused",NA,NA,"Never married",0,"Yes","Often","Somewhat satisfied","Hardly ever","Pretty happy","Fair",NA,NA
"97",2018,97,"Black","Female",69,"Middle atlantic","Below average","High school","High school",2,"$25000 or more",NA,NA,"Married",1,"No","","","No issp","Pretty happy","Good",NA,NA
"98",2018,98,"Black","Male",45,"Middle atlantic","Average","Bachelor","",1,"$25000 or more",50,NA,"Separated",0,"No","Sometimes","Somewhat satisfied","Never","Very happy","Good",20,3
"99",2018,99,"Other","Female",32,"Middle atlantic","Below average","High school","Bachelor",3,"Refused",NA,NA,"Married",1,"No","","","No issp","Pretty happy","Excellent",NA,NA
"100",2018,100,"White","Female",60,"Middle atlantic","Average","Lt high school","",1,"$8000 to 9999",NA,NA,"Widowed",1,"Yes","","","No issp","Very happy","Good",NA,NA
"101",2018,101,"Other","Male",48,"Middle atlantic","Average","Lt high school","",1,"$25000 or more",NA,NA,"Divorced",1,"Yes","Sometimes","Somewhat satisfied","Often","Not too happy","Fair",1,8
"102",2018,102,"Other","Female",81,"Middle atlantic","Below average","High school","",2,"$1000 to 2999",NA,NA,"Divorced",1,"Yes","","","No issp","Not too happy","Poor",0,NA
"103",2018,103,"Other","Male",50,"Middle atlantic","Above average","Graduate","Graduate",2,"Refused",NA,NA,"Married",0,"No","Sometimes","Not too satisfied","Sometimes","Pretty happy","Excellent",NA,NA
"104",2018,104,"White","Female",78,"Middle atlantic","Average","High school","Lt high school",2,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Very happy","Fair",NA,NA
"105",2018,105,"White","Male",56,"Middle atlantic","Below average","Graduate","",1,"$25000 or more",24,NA,"Never married",0,"","Rarely","Not too satisfied","Sometimes","Pretty happy","",5,40
"106",2018,106,"White","Male",60,"Middle atlantic","Below average","High school","",1,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Sometimes","Pretty happy","Good",2,7
"107",2018,107,"White","Male",23,"Middle atlantic","Above average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"","Often","Very satisfied","Never","Pretty happy","",0,20
"108",2018,108,"White","Female",67,"Middle atlantic","Below average","High school","",1,"Refused",40,NA,"Never married",0,"","Never","Somewhat satisfied","Always","Pretty happy","",2,2
"109",2018,109,"White","Female",54,"Middle atlantic","Above average","Bachelor","High school",2,"Refused",NA,NA,"Married",5,"No","Rarely","Very satisfied","Never","Very happy","Good",NA,NA
"110",2018,110,"White","Female",62,"Middle atlantic","Average","Junior college","Bachelor",2,"$25000 or more",NA,NA,"Married",2,"","","","No issp","Not too happy","",8,2
"111",2018,111,"White","Female",55,"Middle atlantic","Below average","Junior college","",1,"$25000 or more",NA,NA,"Divorced",2,"No","Rarely","Very satisfied","Always","Very happy","Good",NA,NA
"112",2018,112,"White","Female",56,"Middle atlantic","Average","High school","Graduate",2,"$25000 or more",NA,NA,"Married",1,"","Sometimes","Very satisfied","Often","Very happy","",5,5
"113",2018,113,"White","Male",58,"Middle atlantic","Above average","Junior college","",2,"$25000 or more",NA,NA,"Never married",0,"","","","No issp","Pretty happy","",0,70
"114",2018,114,"White","Female",74,"Middle atlantic","Above average","High school","",1,"$10000 - 14999",NA,NA,"Divorced",1,"","","","No issp","Not too happy","",NA,NA
"115",2018,115,"White","Male",70,"Middle atlantic","Average","Bachelor","Graduate",2,"Refused",NA,NA,"Married",3,"","Rarely","Very satisfied","Sometimes","Pretty happy","",20,8
"116",2018,116,"White","Male",35,"Middle atlantic","Average","Bachelor","Graduate",4,"Refused",NA,40,"Married",2,"No","Rarely","Very satisfied","Hardly ever","Very happy","Good",25,2
"117",2018,117,"Black","Male",65,"Middle atlantic","Below average","Lt high school","Lt high school",2,"$25000 or more",NA,NA,"Married",2,"","","","No issp","Pretty happy","",1,25
"118",2018,118,"White","Female",42,"New england","Below average","Junior college","High school",2,"$25000 or more",NA,NA,"Married",2,"No","","","No issp","Pretty happy","Fair",NA,NA
"119",2018,119,"White","Female",48,"New england","Below average","High school","High school",4,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Very satisfied","Sometimes","Very happy","Excellent",NA,NA
"120",2018,120,"White","Male",32,"New england","Average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","Often","Somewhat satisfied","Sometimes","Pretty happy","Good",1,1
"121",2018,121,"White","Female",56,"New england","Average","High school","High school",5,"$25000 or more",NA,NA,"Married",3,"Yes","","","No issp","Pretty happy","Good",NA,NA
"122",2018,122,"White","Female",61,"New england","Below average","High school","High school",2,"$25000 or more",NA,NA,"Married",2,"No","Often","Very satisfied","Sometimes","Pretty happy","Good",30,30
"123",2018,123,"White","Female",76,"Pacific","Below average","Bachelor","",1,"$25000 or more",NA,NA,"Widowed",2,"Yes","Rarely","Very satisfied","Sometimes","Pretty happy","Good",NA,NA
"124",2018,124,"White","Female",59,"Pacific","Above average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",2,"No","Sometimes","Very satisfied","Hardly ever","Pretty happy","Good",NA,NA
"125",2018,125,"White","Male",69,"Pacific","Average","Bachelor","",1,"$25000 or more",NA,NA,"Never married",0,"No","Rarely","Somewhat satisfied","Hardly ever","Pretty happy","Good",3,15
"126",2018,126,"Other","Male",48,"Pacific","Below average","Graduate","",1,"$25000 or more",NA,NA,"Never married",0,"","Rarely","Very satisfied","Hardly ever","Pretty happy","",1,14
"127",2018,127,"White","Female",68,"Pacific","Below average","Graduate","Junior college",3,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Very satisfied","Hardly ever","Pretty happy","Good",2,1
"128",2018,128,"White","Female",39,"Pacific","Average","Bachelor","",2,"Lt $1000",NA,NA,"Never married",0,"Yes","Often","Very satisfied","Sometimes","Very happy","Excellent",NA,NA
"129",2018,129,"White","Male",38,"Pacific","Average","Graduate","Graduate",3,"$25000 or more",NA,NA,"Married",2,"No","Rarely","Very satisfied","Hardly ever","Pretty happy","Good",30,5
"130",2018,130,"White","Female",39,"Pacific","Above average","Graduate","",3,"$25000 or more",NA,NA,"Never married",1,"Yes","Sometimes","Somewhat satisfied","Often","Very happy","Good",NA,NA
"131",2018,131,"White","Female",52,"Pacific","Average","High school","Lt high school",3,"Refused",NA,NA,"Married",4,"","","","No issp","Very happy","",NA,NA
"132",2018,132,"White","Female",41,"Pacific","Above average","Graduate","Graduate",3,"$25000 or more",NA,NA,"Married",1,"No","","","No issp","Very happy","Excellent",2,20
"133",2018,133,"White","Male",60,"Pacific","Average","Bachelor","High school",1,"Refused",NA,NA,"Married",3,"","Sometimes","Very satisfied","Sometimes","Pretty happy","",20,20
"134",2018,134,"White","Male",69,"Pacific","Above average","High school","Graduate",2,"Refused",NA,NA,"Married",2,"No","Sometimes","Very satisfied","Often","Pretty happy","Fair",NA,NA
"135",2018,135,"White","Male",60,"Pacific","Below average","High school","Bachelor",2,"Refused",NA,NA,"Married",0,"","Often","Very satisfied","Sometimes","Pretty happy","",40,25
"136",2018,136,"Other","Female",22,"Pacific","Average","High school","",6,"$25000 or more",NA,NA,"Never married",0,"","Never","Very satisfied","Hardly ever","Pretty happy","",0,15
"137",2018,137,"Other","Male",33,"Pacific","Average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"No","","","No issp","Pretty happy","Fair",2,10
"138",2018,138,"Other","Female",35,"Pacific","Below average","Bachelor","Bachelor",2,"$25000 or more",NA,NA,"Married",0,"No","Never","Somewhat satisfied","Sometimes","Not too happy","Excellent",NA,NA
"139",2018,139,"White","Female",38,"Pacific","Average","Lt high school","Lt high school",4,"$25000 or more",NA,NA,"Married",2,"","Never","Somewhat satisfied","Hardly ever","Very happy","",1,10
"140",2018,140,"White","Female",25,"Pacific","Average","High school","",4,"$25000 or more",NA,NA,"Never married",0,"Yes","Sometimes","Very satisfied","Hardly ever","Pretty happy","Good",0,1
"141",2018,141,"White","Male",55,"Pacific","Average","Junior college","",1,"$25000 or more",NA,NA,"Divorced",2,"Yes","Sometimes","Somewhat satisfied","Sometimes","Not too happy","Good",NA,NA
"142",2018,142,"White","Male",34,"Pacific","Above average","High school","High school",2,"$20000 - 24999",NA,NA,"Married",0,"","Rarely","Not too satisfied","Sometimes","Pretty happy","",1,48
"143",2018,143,"Other","Male",49,"Pacific","Below average","Lt high school","",2,"Refused",NA,NA,"Divorced",0,"No","","","No issp","Not too happy","Fair",0,3
"144",2018,144,"Black","Male",18,"Pacific","Average","High school","",4,"$15000 - 19999",NA,NA,"Never married",0,"","","","No issp","Pretty happy","",1,4
"145",2018,145,"Other","Male",56,"Pacific","Average","High school","",1,"$25000 or more",NA,NA,"Divorced",3,"","Never","Very satisfied","Hardly ever","Pretty happy","",20,4
"146",2018,146,"Black","Male",19,"Pacific","Average","High school","",1,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Very satisfied","Sometimes","Pretty happy","Fair",0,20
"147",2018,147,"Black","Male",34,"Pacific","Far below average","High school","",3,"$25000 or more",NA,NA,"Never married",0,"","","","No issp","Not too happy","",100,20
"148",2018,148,"Black","Female",26,"Pacific","Below average","Bachelor","",1,"$10000 - 14999",NA,NA,"Never married",0,"","Sometimes","Not too satisfied","Sometimes","Pretty happy","",2,70
"149",2018,149,"White","Male",28,"Pacific","Above average","High school","",2,"$25000 or more",NA,NA,"Never married",0,"No","","","No issp","Pretty happy","Good",0,28
"150",2018,150,"White","Female",59,"Pacific","Below average","Graduate","",2,"$25000 or more",NA,NA,"Separated",2,"","Sometimes","Very satisfied","Sometimes","Very happy","",5,10
"151",2018,151,"Black","Female",39,"Pacific","Average","Graduate","",3,"$25000 or more",NA,NA,"Never married",0,"No","Sometimes","Somewhat satisfied","Often","Pretty happy","Good",NA,NA
"152",2018,152,"Black","Female",77,"Pacific","Average","High school","",1,"$4000 to 4999",NA,NA,"Separated",4,"Yes","","","No issp","Pretty happy","Good",NA,NA
"153",2018,153,"Black","Female",35,"Pacific","Average","High school","",2,"$4000 to 4999",NA,NA,"Never married",1,"","","","No issp","Not too happy","",2,12
"154",2018,154,"Other","Female",46,"Pacific","Far below average","Bachelor","",2,"$25000 or more",NA,NA,"Separated",4,"Yes","Sometimes","Somewhat satisfied","Always","Pretty happy","Fair",NA,NA
